,grayscale,type
22,[[0.00027694 0.00096929 0.00041541 ... 0.00055388 0.00083082 0.00055388]],Type_1
23,[[0.0058042  0.0058042  0.00608505 ... 0.00327657 0.00327657 0.00299572]],Type_1
24,[[0.00243073 0.00220285 0.00220285 ... 0.0003798  0.00053172 0.00053172]],Type_1
25,[[0.00015714 0.00031429 0.00015714 ... 0.00015714 0.00039286 0.00031429]],Type_1
26,[[0.00913274 0.00885028 0.00866198 ... 0.00950934 0.00913274 0.00894443]],Type_1
27,[[0.00413405 0.00404009 0.00413405 ... 0.02198561 0.02236143 0.02292516]],Type_1
28,[[0.006564   0.00591571 0.00534845 ... 0.00032415 0.00048622 0.00024311]],Type_1
29,"[[1.80759070e-04 9.03795348e-05 1.80759070e-04 ... 1.80759070e-04
  1.80759070e-04 1.80759070e-04]]",Type_1
30,[[0.00394167 0.00553964 0.00703108 ... 0.00245023 0.0020241  0.00127838]],Type_1
31,[[0.01238214 0.01259082 0.01307776 ... 0.00180863 0.00132169 0.001113  ]],Type_1
32,[[0.00738174 0.00803307 0.00868441 ... 0.00607908 0.00575342 0.00542775]],Type_1
33,[[0.00353303 0.00419548 0.00353303 ... 0.00264977 0.0030914  0.00320181]],Type_1
34,"[[0.00000000e+00 9.41151415e-05 9.41151415e-05 ... 1.88230283e-04
  9.41151415e-05 0.00000000e+00]]",Type_1
35,"[[8.33410569e-05 1.66682114e-04 1.66682114e-04 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_1
36,[[0.00066289 0.0001894  0.00037879 ... 0.0001894  0.00056819 0.0001894 ]],Type_1
37,[[0.01082544 0.01120197 0.01261399 ... 0.00461258 0.00527152 0.00367123]],Type_1
38,[[0.01907427 0.01907427 0.01907427 ... 0.00196473 0.00638538 0.00851384]],Type_1
39,[[0.0015177  0.0023714  0.00227654 ... 0.00445823 0.00341482 0.00227654]],Type_1
40,[[0.00330634 0.00703931 0.00874581 ... 0.00533281 0.00607941 0.00597275]],Type_1
41,[[0.00020037 0.         0.         ... 0.         0.         0.        ]],Type_1
42,[[0.         0.         0.00027263 ... 0.         0.         0.        ]],Type_1
43,[[0.01125361 0.01132439 0.01189061 ... 0.00544986 0.00516675 0.00445898]],Type_1
44,[[0.00805135 0.00752463 0.00759988 ... 0.0102335  0.00918005 0.00647118]],Type_1
45,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.3716918e-05
  0.0000000e+00 0.0000000e+00]]",Type_1
46,"[[8.74597892e-05 8.74597892e-05 8.74597892e-05 ... 6.99678313e-04
  5.24758735e-04 0.00000000e+00]]",Type_1
47,"[[2.86289000e-04 1.90859333e-04 9.54296666e-05 ... 1.90859333e-04
  1.90859333e-04 2.86289000e-04]]",Type_1
48,[[0.0076183  0.00655174 0.00685647 ... 0.00556136 0.00487571 0.00388533]],Type_1
49,"[[1.81918402e-04 9.09592011e-05 2.72877603e-04 ... 8.36824650e-03
  4.72987845e-03 1.72822482e-03]]",Type_1
50,"[[9.60201294e-05 0.00000000e+00 9.60201294e-05 ... 3.84080518e-03
  3.16866427e-03 2.68856362e-03]]",Type_1
51,[[0. 0. 0. ... 0. 0. 0.]],Type_1
52,"[[8.41991009e-05 8.41991009e-05 8.41991009e-05 ... 8.41991009e-05
  8.41991009e-05 1.68398202e-04]]",Type_1
53,[[0.00768641 0.00864721 0.00925863 ... 0.00262037 0.00296975 0.00244568]],Type_1
54,[[0.01204104 0.01305148 0.0136409  ... 0.00345233 0.00336812 0.00336812]],Type_1
55,[[0.         0.00114047 0.00359686 ... 0.01675611 0.01622974 0.01614201]],Type_1
56,[[0.004695   0.00402429 0.00498245 ... 0.00507827 0.00536572 0.00383266]],Type_1
57,"[[2.94313947e-04 3.92418596e-04 1.96209298e-04 ... 9.81046491e-05
  9.81046491e-05 9.81046491e-05]]",Type_1
58,[[0.01992216 0.0179194  0.01391389 ... 0.01444093 0.01444093 0.01560042]],Type_1
59,[[0.00174478 0.00184171 0.00378035 ... 0.00184171 0.00533127 0.00416808]],Type_1
60,[[0.00569154 0.00559974 0.00559974 ... 0.00431455 0.00477355 0.00523254]],Type_1
61,[[0.00931526 0.00931526 0.0088966  ... 0.01580454 0.01643254 0.01643254]],Type_1
62,[[0.00044432 0.00162916 0.00207348 ... 0.00940471 0.00940471 0.00940471]],Type_1
63,"[[7.57803751e-05 3.03121500e-04 7.57803751e-05 ... 1.51560750e-04
  0.00000000e+00 0.00000000e+00]]",Type_1
64,[[0.00057162 0.00024498 0.0004083  ... 0.0004083  0.00016332 0.0004083 ]],Type_1
65,[[0.00056461 0.00067753 0.00180674 ... 0.00011292 0.00011292 0.00011292]],Type_1
66,[[0.01539677 0.01640639 0.01674294 ... 0.00336541 0.00269233 0.00201925]],Type_1
67,[[0.00641645 0.00761419 0.00650201 ... 0.00153995 0.00205327 0.00248103]],Type_1
68,[[0.00946    0.00929829 0.00897487 ... 0.00420444 0.00533641 0.00598325]],Type_1
69,[[0.01079542 0.01088848 0.01098155 ... 0.         0.         0.00018613]],Type_1
70,[[0.01025561 0.00986417 0.0097076  ... 0.00172232 0.00195718 0.00125259]],Type_1
71,[[0.00667973 0.007551   0.00842227 ... 0.0013069  0.0012343  0.00137951]],Type_1
72,[[0.01125325 0.01267098 0.01275959 ... 0.00708866 0.00673423 0.00593675]],Type_1
73,[[0.00074915 0.00140465 0.00140465 ... 0.00224744 0.00243473 0.00177923]],Type_1
74,[[0.00992533 0.01000227 0.01000227 ... 0.00430867 0.00384703 0.00330844]],Type_1
75,[[0.01061511 0.01154183 0.01137333 ... 0.00379111 0.00353837 0.00294864]],Type_1
76,[[0.00037801 0.00047251 0.00122853 ... 0.00311857 0.00198455 0.00189005]],Type_1
77,[[0.00518455 0.00503427 0.00488399 ... 0.00631162 0.00653704 0.00668731]],Type_1
78,[[0.00246922 0.00355568 0.00345691 ... 0.00553105 0.00533351 0.00513598]],Type_1
79,[[0.02058492 0.0200779  0.0198751  ... 0.00760527 0.00790948 0.00801088]],Type_1
80,[[0.         0.00010823 0.0003247  ... 0.00313878 0.00194821 0.00205644]],Type_1
81,[[0.01470368 0.01516317 0.01539292 ... 0.01110434 0.0108746  0.01041511]],Type_1
82,[[0.00257477 0.00203836 0.00214564 ... 0.01866706 0.0184525  0.01888162]],Type_1
83,"[[1.5714121e-04 7.8570605e-05 1.5714121e-04 ... 7.8570605e-05
  1.5714121e-04 7.8570605e-05]]",Type_1
84,[[0.00676934 0.00699251 0.00721567 ... 0.00743884 0.00647179 0.00595107]],Type_1
85,[[0.01004851 0.00998152 0.00998152 ... 0.00381843 0.00408639 0.00422037]],Type_1
86,[[0.0003627 0.0001209 0.0001209 ... 0.0002418 0.0002418 0.0003627]],Type_1
87,"[[9.62389255e-03 1.03770667e-02 1.10465549e-02 ... 2.67795271e-03
  1.67372044e-04 8.36860222e-05]]",Type_1
88,[[0.00728885 0.00761042 0.00728885 ... 0.00107189 0.00053594 0.00042876]],Type_1
89,[[0.00013942 0.00013942 0.00013942 ... 0.         0.00034856 0.00020913]],Type_1
90,[[0.00366051 0.00388929 0.00434686 ... 0.00396555 0.0025166  0.00190652]],Type_1
91,[[0.00650753 0.0071402  0.00677867 ... 0.00036153 0.00018076 0.00018076]],Type_1
92,[[0.01088303 0.01113612 0.01223286 ... 0.00219348 0.0028684  0.00278403]],Type_1
93,[[0.00252379 0.00362795 0.00386455 ... 0.00410116 0.00512645 0.00536305]],Type_1
94,[[0.00805336 0.00796486 0.00814186 ... 0.01265528 0.01123931 0.00831886]],Type_1
95,"[[9.23883576e-05 0.00000000e+00 0.00000000e+00 ... 9.23883576e-05
  0.00000000e+00 0.00000000e+00]]",Type_1
96,[[0.01019797 0.01066864 0.01129621 ... 0.00635412 0.00643257 0.00651101]],Type_1
97,[[0.01361587 0.01317664 0.0130888  ... 0.00175689 0.00193257 0.00219611]],Type_1
98,[[0.00141737 0.00188982 0.00118114 ... 0.00791363 0.00685061 0.0059057 ]],Type_1
99,[[0. 0. 0. ... 0. 0. 0.]],Type_1
100,[[0.01040401 0.01048404 0.01008388 ... 0.00912351 0.00872336 0.00872336]],Type_1
101,"[[9.87831392e-05 2.96349418e-04 1.97566278e-04 ... 1.97566278e-04
  1.97566278e-04 2.96349418e-04]]",Type_1
102,[[0.00010926 0.00010926 0.         ... 0.00021852 0.00032779 0.00021852]],Type_1
103,[[0.00011444 0.00011444 0.00011444 ... 0.00022888 0.00045775 0.00034331]],Type_1
104,[[0.00919093 0.00919093 0.00961643 ... 0.00238283 0.00229773 0.00263814]],Type_1
105,[[0.00470463 0.00553486 0.00525811 ... 0.00627284 0.00571935 0.00535036]],Type_1
106,[[0.01912474 0.01912474 0.01912474 ... 0.00702541 0.00632287 0.00366883]],Type_1
107,[[0.00645477 0.00910584 0.00737688 ... 0.00357318 0.00242054 0.        ]],Type_1
108,"[[1.89312225e-04 4.73280562e-04 1.89312225e-04 ... 9.46561124e-05
  1.89312225e-04 2.83968337e-04]]",Type_1
109,[[0.01034579 0.01123575 0.01079077 ... 0.00845463 0.00878836 0.00845463]],Type_1
110,"[[7.28087328e-05 1.45617466e-04 7.28087328e-05 ... 7.28087328e-05
  7.28087328e-05 7.28087328e-05]]",Type_1
111,[[0.0114747  0.01176705 0.01213249 ... 0.0080396  0.00789343 0.00774725]],Type_1
112,[[0.00057392 0.00057392 0.00057392 ... 0.00034435 0.00034435 0.00034435]],Type_1
113,[[0.01074387 0.01103688 0.01230661 ... 0.01465073 0.01513909 0.01562744]],Type_1
114,"[[8.43944895e-05 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_1
115,[[0.00668693 0.00619765 0.00676848 ... 0.00880718 0.00839944 0.0081548 ]],Type_1
116,"[[9.74752555e-05 9.74752555e-05 9.74752555e-05 ... 0.00000000e+00
  9.74752555e-05 0.00000000e+00]]",Type_1
117,[[0.00547829 0.00628989 0.00608699 ... 0.00984064 0.00953629 0.00811599]],Type_1
118,[[0.00548788 0.00696539 0.00816147 ... 0.00654325 0.00591003 0.00598039]],Type_1
119,[[0.00974177 0.00983033 0.01045026 ... 0.00628787 0.00584506 0.00487088]],Type_1
120,[[0.00712803 0.00498103 0.00395047 ... 0.01253846 0.01262434 0.0127961 ]],Type_1
121,[[0.00087084 0.00043542 0.00032657 ... 0.00032657 0.00054428 0.00065313]],Type_1
122,"[[0.00000000e+00 0.00000000e+00 9.44034830e-05 ... 2.83210449e-04
  0.00000000e+00 9.44034830e-05]]",Type_1
123,[[0.00380938 0.00341868 0.003321   ... 0.00713038 0.00546988 0.00615362]],Type_1
124,[[0.         0.00010603 0.         ... 0.         0.         0.        ]],Type_1
125,[[0.00043833 0.00029222 0.00014611 ... 0.00116888 0.00073055 0.00073055]],Type_1
126,[[0.00420714 0.00462785 0.00515374 ... 0.00567963 0.00631071 0.00473303]],Type_1
127,[[0.00092218 0.00150902 0.00142518 ... 0.00704208 0.00653908 0.0061199 ]],Type_1
128,[[0.00932043 0.00910699 0.00988962 ... 0.00775517 0.00768402 0.00718598]],Type_1
129,[[0.00020242 0.         0.         ... 0.00020242 0.00020242 0.        ]],Type_1
130,[[0.00016997 0.00016997 0.00016997 ... 0.00016997 0.00016997 0.00016997]],Type_1
131,[[0.00016253 0.002763   0.00715129 ... 0.00479462 0.00625738 0.00707003]],Type_1
132,[[0. 0. 0. ... 0. 0. 0.]],Type_1
133,"[[1.89723293e-04 9.48616465e-05 1.89723293e-04 ... 9.48616465e-05
  2.84584939e-04 3.79446586e-04]]",Type_1
134,[[0.01319942 0.01284026 0.01301984 ... 0.00161626 0.00098771 0.00080813]],Type_1
135,"[[2.40634934e-04 3.20846579e-04 4.01058224e-04 ... 8.02116447e-05
  8.02116447e-05 8.02116447e-05]]",Type_1
136,"[[0.00000000e+00 8.13216968e-05 8.13216968e-05 ... 8.13216968e-05
  8.13216968e-05 8.13216968e-05]]",Type_1
137,"[[7.62162794e-05 7.62162794e-05 7.62162794e-05 ... 7.62162794e-05
  7.62162794e-05 7.62162794e-05]]",Type_1
138,[[0.0003545  0.0003545  0.00023633 ... 0.0003545  0.00023633 0.00023633]],Type_1
139,[[0.00297565 0.00602387 0.00747541 ... 0.01008818 0.01364444 0.0131364 ]],Type_1
140,[[0. 0. 0. ... 0. 0. 0.]],Type_1
141,[[0. 0. 0. ... 0. 0. 0.]],Type_1
142,[[0.00207837 0.00223825 0.00223825 ... 0.00727431 0.00759406 0.00679469]],Type_1
143,"[[8.97594209e-05 8.97594209e-05 8.97594209e-05 ... 8.97594209e-05
  8.97594209e-05 0.00000000e+00]]",Type_1
144,"[[1.88379125e-04 1.88379125e-04 9.41895624e-05 ... 1.88379125e-04
  9.41895624e-05 1.88379125e-04]]",Type_1
145,[[0.00703193 0.00739254 0.00775316 ... 0.00865468 0.00775316 0.00649101]],Type_1
146,[[0.013761   0.01384491 0.01292191 ... 0.0088943  0.00939776 0.00922994]],Type_1
147,[[0.00182243 0.00245632 0.00419951 ... 0.00507111 0.00427875 0.00412027]],Type_1
148,[[0.00034353 0.00085883 0.0010306  ... 0.00214708 0.00120236 0.00042942]],Type_1
149,[[0.00022805 0.         0.00011402 ... 0.00729752 0.0067274  0.00444693]],Type_1
150,"[[4.37445239e-03 4.56464597e-03 4.46954918e-03 ... 0.00000000e+00
  1.90193582e-04 9.50967911e-05]]",Type_1
151,[[0.00517477 0.00468194 0.00492835 ... 0.00336771 0.00303915 0.00303915]],Type_1
152,[[0.00971618 0.00891393 0.00730942 ... 0.00303074 0.00258504 0.0029416 ]],Type_1
153,[[0.00569928 0.00551242 0.0051387  ... 0.00177519 0.00336351 0.0027095 ]],Type_1
154,[[0.00101158 0.00075868 0.00101158 ... 0.00088513 0.00037934 0.        ]],Type_1
155,[[0.00029574 0.00019716 0.00019716 ... 0.00019716 0.00019716 0.00019716]],Type_1
156,[[0.00012819 0.00025638 0.00025638 ... 0.00025638 0.00025638 0.00025638]],Type_1
157,[[0. 0. 0. ... 0. 0. 0.]],Type_1
158,[[0.00814172 0.00763286 0.00746324 ... 0.01306067 0.01221258 0.0123822 ]],Type_1
159,[[0. 0. 0. ... 0. 0. 0.]],Type_1
160,[[0.00056162 0.00046802 0.00037441 ... 0.00046802 0.00084243 0.00037441]],Type_1
161,[[0.00010623 0.         0.00010623 ... 0.         0.         0.        ]],Type_1
162,[[0.01236188 0.01281973 0.01224742 ... 0.01041603 0.00972926 0.0086991 ]],Type_1
163,[[0.00035741 0.00035741 0.00035741 ... 0.00026806 0.00044676 0.00035741]],Type_1
164,[[0.00358697 0.00316988 0.00275279 ... 0.0041709  0.00383722 0.00350355]],Type_1
165,"[[0.00000000e+00 0.00000000e+00 9.32547548e-05 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_1
166,[[0.00043073 0.00034459 0.00034459 ... 0.00137834 0.00094761 0.00120605]],Type_1
167,[[0.00293443 0.00302908 0.00340772 ... 0.01135907 0.01268429 0.01296827]],Type_1
168,[[0.0101734  0.0100933  0.0101734  ... 0.01265667 0.01201583 0.0115352 ]],Type_1
169,[[0.00086517 0.00121124 0.00121124 ... 0.01704394 0.01695742 0.01704394]],Type_1
170,[[0.00857454 0.00865321 0.00794522 ... 0.01329447 0.01305847 0.01250781]],Type_1
171,[[0.01362428 0.0131585  0.0131585  ... 0.00232894 0.00151381 0.00128092]],Type_1
172,[[0.00394725 0.00440624 0.00431444 ... 0.         0.         0.        ]],Type_1
173,"[[1.74954091e-04 8.74770454e-05 8.74770454e-05 ... 0.00000000e+00
  8.74770454e-05 8.74770454e-05]]",Type_1
174,[[0.0029105  0.00443505 0.00540522 ... 0.01087974 0.01101833 0.01122623]],Type_1
175,[[0.00020816 0.00031223 0.00031223 ... 0.00020816 0.00010408 0.00010408]],Type_1
176,[[0.00418118 0.00371661 0.00406504 ... 0.00418118 0.00406504 0.00418118]],Type_1
177,[[0.00294109 0.0033736  0.00294109 ... 0.00596867 0.00640119 0.0067472 ]],Type_1
178,"[[9.43947268e-05 9.43947268e-05 9.43947268e-05 ... 9.43947268e-05
  9.43947268e-05 9.43947268e-05]]",Type_1
179,[[0.00512428 0.00549695 0.00512428 ... 0.00121119 0.00130436 0.00093169]],Type_1
180,"[[1.76403131e-04 0.00000000e+00 8.82015657e-05 ... 8.82015657e-05
  8.82015657e-05 0.00000000e+00]]",Type_1
181,[[0.00067013 0.00293181 0.00661752 ... 0.01398893 0.01315126 0.01088958]],Type_1
182,[[0.00011606 0.00011606 0.         ... 0.         0.00011606 0.00011606]],Type_1
183,[[0.00168242 0.00257312 0.00277105 ... 0.00247415 0.00217725 0.00118759]],Type_1
184,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 7.96279724e-05]]",Type_1
185,[[0.01447599 0.0143942  0.01382171 ... 0.00400748 0.00408926 0.0049889 ]],Type_1
186,[[0. 0. 0. ... 0. 0. 0.]],Type_1
187,"[[1.88870478e-04 9.44352388e-05 9.44352388e-05 ... 9.44352388e-05
  1.88870478e-04 1.88870478e-04]]",Type_1
188,[[0.00702934 0.00764595 0.00807757 ... 0.01109895 0.01116061 0.01060567]],Type_1
189,"[[0.00000000e+00 0.00000000e+00 9.20631445e-05 ... 0.00000000e+00
  2.76189434e-04 0.00000000e+00]]",Type_1
190,[[0.00162592 0.00138203 0.00170721 ... 0.00674755 0.00609718 0.00520293]],Type_1
191,[[0.00959052 0.0079921  0.00855624 ... 0.00413709 0.00282074 0.00676978]],Type_1
192,[[0.00496434 0.00458967 0.00468334 ... 0.00149867 0.00159233 0.00215434]],Type_1
193,[[0.         0.         0.         ... 0.00010866 0.         0.        ]],Type_1
194,[[0.01104454 0.01168348 0.01195731 ... 0.00018255 0.00036511 0.00045639]],Type_1
195,"[[1.73910411e-04 8.69552054e-05 0.00000000e+00 ... 3.21734260e-03
  4.08689465e-03 4.08689465e-03]]",Type_1
196,[[0.0001066  0.00021321 0.00021321 ... 0.0001066  0.0001066  0.0001066 ]],Type_1
197,[[0.01273543 0.01297422 0.01329261 ... 0.01209866 0.01297422 0.01369059]],Type_1
198,[[0.00418529 0.00542185 0.00637306 ... 0.00399505 0.00361457 0.00237801]],Type_1
199,[[0.00010423 0.00010423 0.         ... 0.         0.         0.        ]],Type_1
200,"[[0.00000000e+00 1.76684498e-04 8.83422488e-05 ... 8.83422488e-05
  8.83422488e-05 1.76684498e-04]]",Type_1
201,[[0.01254566 0.0130684  0.01254566 ... 0.00614215 0.00810241 0.0073183 ]],Type_1
202,"[[9.72565311e-05 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_1
203,[[0.00084359 0.00092795 0.00160282 ... 0.00084359 0.00059051 0.        ]],Type_1
204,[[0.00066694 0.00348292 0.00563196 ... 0.00726227 0.00755869 0.00755869]],Type_1
205,[[0.0088706  0.00913672 0.0088706  ... 0.01055602 0.01020119 0.01224143]],Type_1
206,[[0.00435236 0.00384032 0.00422435 ... 0.01139294 0.01139294 0.01113692]],Type_1
207,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00
  0.0000000e+00 9.1879749e-05]]",Type_1
208,[[0.00040903 0.00068171 0.00027268 ... 0.00040903 0.00013634 0.00027268]],Type_1
209,"[[8.43830687e-05 8.43830687e-05 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",Type_1
210,"[[1.85030741e-04 1.85030741e-04 9.25153704e-05 ... 1.85030741e-04
  1.85030741e-04 9.25153704e-05]]",Type_1
211,"[[6.36455271e-04 4.54610908e-04 5.45533090e-04 ... 1.81844363e-04
  1.81844363e-04 9.09221816e-05]]",Type_1
212,[[0.00422389 0.00351991 0.00344951 ... 0.00682862 0.00647663 0.00605424]],Type_1
213,"[[9.60390958e-05 9.60390958e-05 1.92078192e-04 ... 0.00000000e+00
  9.60390958e-05 0.00000000e+00]]",Type_1
214,[[0.0149094  0.01468119 0.01498547 ... 0.00874786 0.00753077 0.01102991]],Type_1
215,[[0.         0.         0.00034876 ... 0.         0.00011625 0.00011625]],Type_1
216,[[0.         0.         0.         ... 0.         0.00011229 0.        ]],Type_1
217,"[[0.00000000e+00 8.70010998e-05 1.74002200e-04 ... 0.00000000e+00
  8.70010998e-05 0.00000000e+00]]",Type_1
218,[[0.00781911 0.00718082 0.0078989  ... 0.0127659  0.01244675 0.01268611]],Type_1
219,[[0.01261626 0.01233168 0.01290083 ... 0.0083476  0.00588126 0.00493267]],Type_1
220,[[0.01013149 0.01021126 0.01021126 ... 0.00662136 0.00702024 0.00686069]],Type_1
221,[[0.00010829 0.         0.         ... 0.00368183 0.00335696 0.00314038]],Type_1
222,[[0.00661364 0.00634184 0.00588886 ... 0.00761021 0.00742902 0.00724782]],Type_1
223,[[0.00441903 0.00424906 0.0040791  ... 0.00339925 0.00059487 0.        ]],Type_1
224,[[0. 0. 0. ... 0. 0. 0.]],Type_1
225,[[0.         0.         0.         ... 0.         0.         0.00018123]],Type_1
226,[[0.0113429  0.01158086 0.01142222 ... 0.00111049 0.00118981 0.00095185]],Type_1
227,[[0.00327671 0.00372353 0.00364906 ... 0.0111706  0.01042589 0.00915989]],Type_1
228,[[0.01009646 0.00983076 0.01000789 ... 0.01098211 0.00885654 0.0069081 ]],Type_1
229,[[0.00897032 0.00889494 0.00881956 ... 0.00995028 0.00979951 0.00979951]],Type_1
230,[[0.01302233 0.01385354 0.01482329 ... 0.00124682 0.00131609 0.00131609]],Type_1
231,[[0.00589095 0.00856028 0.01122962 ... 0.0023932  0.00211706 0.00156478]],Type_1
232,[[0.00020822 0.00052055 0.00041644 ... 0.00020822 0.00020822 0.00031233]],Type_1
233,[[0.         0.00050398 0.00141115 ... 0.00231832 0.00241911 0.00161274]],Type_1
234,[[0.00230446 0.00307261 0.00337987 ... 0.00015363 0.00015363 0.        ]],Type_1
235,[[0.00023555 0.00023555 0.00023555 ... 0.00035332 0.00047109 0.00011777]],Type_1
236,[[0.01674297 0.01658198 0.01658198 ... 0.01344267 0.01376465 0.01392564]],Type_1
237,[[0.01146144 0.01160382 0.01160382 ... 0.00469848 0.00441372 0.00384421]],Type_1
238,[[0.00755989 0.00722012 0.00662552 ... 0.00254828 0.00305793 0.00288805]],Type_1
239,[[0.00077755 0.00077755 0.00088863 ... 0.01244076 0.01166321 0.00999704]],Type_1
240,[[0.00270941 0.00361255 0.00341185 ... 0.00421464 0.00361255 0.00381324]],Type_1
241,[[0.0031271  0.00250168 0.00339513 ... 0.00366317 0.0031271  0.00294841]],Type_1
242,[[0.00271171 0.00347099 0.00401334 ... 0.01073839 0.01062992 0.00976217]],Type_1
243,[[0.01435773 0.01445281 0.01473807 ... 0.00085576 0.00104593 0.00114101]],Type_1
244,"[[1.67604585e-04 8.38022925e-05 8.38022925e-05 ... 1.59224356e-03
  1.67604585e-03 1.08942980e-03]]",Type_1
245,[[0.0101162  0.01004394 0.00982717 ... 0.00932136 0.01026072 0.01026072]],Type_1
246,[[0.0001535  0.00030701 0.0001535  ... 0.0001535  0.0001535  0.        ]],Type_1
247,[[0.01566703 0.01592527 0.01515053 ... 0.00860826 0.00869434 0.00895259]],Type_1
248,"[[8.42996414e-05 0.00000000e+00 0.00000000e+00 ... 8.42996414e-05
  8.42996414e-05 0.00000000e+00]]",Type_1
249,[[0.01991464 0.01886034 0.01862605 ... 0.00175717 0.00128859 0.00140574]],Type_1
250,[[0.00346996 0.00490872 0.00643211 ... 0.0010156  0.0007617  0.        ]],Type_2
251,[[0.00117385 0.00093908 0.00031303 ... 0.00532144 0.00414759 0.003052  ]],Type_2
252,[[0.00632831 0.00740091 0.00718639 ... 0.00289601 0.00278875 0.00203793]],Type_2
253,[[0.00396613 0.00499733 0.00547327 ... 0.00586988 0.00388681 0.00214171]],Type_2
254,[[0. 0. 0. ... 0. 0. 0.]],Type_2
255,"[[1.88334139e-04 9.41670697e-05 1.88334139e-04 ... 9.41670697e-05
  1.88334139e-04 1.88334139e-04]]",Type_2
256,[[0.0032516  0.00388385 0.00424514 ... 0.0077677  0.00903222 0.00650319]],Type_2
257,"[[0.00000000e+00 1.62330577e-04 1.62330577e-04 ... 3.24661154e-04
  8.11652885e-05 0.00000000e+00]]",Type_2
258,[[0.00263584 0.00292871 0.00244059 ... 0.00312396 0.00302633 0.00263584]],Type_2
259,[[0.00893649 0.0099195  0.01045569 ... 0.01090251 0.00536189 0.00196603]],Type_2
260,[[0.00311938 0.0030394  0.00343932 ... 0.00463908 0.00511898 0.00479905]],Type_2
261,[[0.00509018 0.00489056 0.00528979 ... 0.00918228 0.0106794  0.01087901]],Type_2
262,[[0.00663708 0.00843975 0.01081599 ... 0.00065551 0.00204848 0.00385115]],Type_2
263,[[0.00031221 0.00020814 0.00031221 ... 0.00010407 0.00020814 0.00020814]],Type_2
264,"[[1.07004873e-02 1.11390318e-02 1.09636140e-02 ... 1.75417824e-04
  8.77089119e-05 0.00000000e+00]]",Type_2
265,[[0.01257896 0.0128715  0.0119939  ... 0.01862467 0.01872218 0.01862467]],Type_2
266,[[0. 0. 0. ... 0. 0. 0.]],Type_2
267,"[[9.18674638e-05 9.18674638e-05 9.18674638e-05 ... 9.18674638e-05
  9.18674638e-05 9.18674638e-05]]",Type_2
